"","age","I_30250","I_30400","I_30550","I_40250","I_40400","I_40550","I_50250","I_50400","I_50550","interception","Ckat_Tracing","Ckat_aiming","Ckat_Tracking","Open","Closed","Attainment_Maths"
"127",8.090349076,4,4,4,4,3,3,4,5,3,34,1.288993235,1.7018,12.5820035,2.331566,1.437185,8
"128",8.194387406,2,2,1,3,3,4,4,4,5,28,2.172190569,1.7298,19.8117315,0.368913,0.796536,6
"129",8.306639288,3,2,1,5,2,1,5,4,4,27,2.150552038,2.498,18.8912895,3.2802,5.618267,6
"130",7.991786448,3,3,1,4,4,5,5,3,3,31,2.021816889,2.4648,16.596285,8.152462,4.176949,4
"131",7.89596167,5,3,2,4,3,4,5,6,4,36,2.592241268,2.375,18.404641,1.39706,2.177493,5
"132",8.271047228,1,3,1,4,3,2,2,1,3,20,1.602544832,1.9176,44.308352,1.448114,2.409099,5
"133",7.649555099,2,3,2,4,3,5,6,3,4,32,1.345857097,1.3488,11.868203,7.233983,12.072146,4
"134",8.202600958,4,2,2,2,4,1,3,3,4,25,1.639913666,1.5878,13.331695,3.919633,5.289674,6
"135",8.34770705,3,1,5,5,6,5,5,5,6,41,1.229140985,1.5226,13.2549565,17.515,16.690357,6
"136",8.495550992,4,4,5,2,4,4,3,6,4,36,1.071113385,1.5944,13.240488,3.156583,1.346053,6
"137",8.147843943,5,5,2,5,4,5,4,5,3,38,1.321529361,1.4902,9.279186,1.294276,3.430428,7
"138",7.748117728,2,3,4,4,1,1,4,3,1,23,1.607127029,1.64,17.8713975,0.654659,1.343172,6
"139",8.372347707,2,3,2,5,3,3,2,5,2,27,1.891776469,2.0704,42.801135,1.376808,3.002333,4
"140",8.06844627,4,3,3,5,3,1,5,3,1,28,1.43257832,1.772,22.1325585,4.970022,7.018864,4
"141",8.386036961,2,0,2,2,3,1,1,5,4,20,1.441333938,3.2122,52.958554,3.268831,1.607731,5
"142",8.449007529,5,4,1,2,4,5,6,4,5,36,1.610351669,1.5884,13.2841705,4.052349,2.479834,5
"143",9.026694045,6,3,5,4,4,4,6,5,6,43,1.581944538,1.5122,9.2640235,11.854565,6.045673,6
"144",9.095140315,5,6,3,3,5,5,5,3,3,38,1.018398328,1.3764,11.847485,1.916133,1.725877,7
"145",9.155373032,5,4,1,6,4,4,6,5,6,41,1.100133039,1.546,13.73001,21.257072,8.660126,9
"146",9.073237509,3,3,4,2,6,3,3,5,2,31,1.295346137,1.5768,11.724509,26.538851,21.829861,9
"147",8.955509925,5,3,4,6,4,3,5,6,5,41,1.450623664,1.4016,9.7454055,2.506813,3.337962,7
"148",9.46201232,3,4,4,3,3,5,5,2,4,33,0.948465033,1.5684,8.07544,1.684775,2.428322,12
"149",8.802190281,0,4,1,4,3,2,4,5,3,26,1.273000798,1.5898,11.951108,8.807133,3.007678,5
"150",8.594113621,3,1,1,2,4,3,1,3,3,21,1.178552361,1.5504,14.238509,22.680963,19.220087,6
"151",9.440109514,4,2,2,4,2,4,5,2,3,28,1.018619356,1.9684,17.193428,10.490412,2.221639,9
"152",8.525667351,2,2,1,3,3,4,5,3,2,25,1.260792843,1.8432,16.0076615,1.083803,2.28967,5
"153",8.65982204,4,2,5,3,2,3,6,5,5,35,1.206151569,1.6738,19.4542485,0.888432,2.888081,6
"154",9.453798768,5,3,1,5,3,3,3,5,2,30,1.129606509,1.6438,12.440098,3.84359,4.711555,9
"155",9.25119781,5,6,4,4,6,5,5,6,4,45,2.217371948,1.3976,9.211049,0.611492,4.378013,9
"156",9.46201232,5,1,3,4,5,3,4,5,5,35,1.223780823,1.5686,12.8787205,2.489968,0.95882,4
"157",8.895277207,5,5,2,4,3,2,3,4,5,33,1.185611271,1.238,9.436158,3.899479,4.391422,9
"158",9.212867899,3,2,1,3,3,0,4,6,4,26,1.548256705,1.634,12.8921695,2.069083,1.887229,7
"159",9.04312115,1,1,0,1,2,1,3,1,3,13,1.256482598,1.7058,12.5817625,11.621777,1.825179,7
"160",9.456536619,1,1,2,5,4,5,6,5,3,32,1.247921962,2.0542,9.3801,7.737635,5.414219,7
"161",8.73100616,2,1,0,2,1,2,2,2,1,13,1.370350762,1.1838,16.049636,10.377425,12.895264,7
"162",8.851471595,0,1,0,2,2,1,2,4,1,13,1.389425369,1.3974,13.2160155,1.732445,1.697766,8
"163",9.486652977,2,1,2,1,0,1,1,6,2,16,2.143192857,2.1326,23.083865,8.268275,5.754443,2
"164",8.588637919,5,4,1,6,6,5,5,5,2,39,1.087580354,1.8298,13.546933,1.245596,3.112611,9
"165",9.232032854,3,4,3,6,3,3,5,3,4,34,1.209859467,1.708,22.3866175,3.146478,2.350045,8
"166",9.415468857,5,4,3,4,5,2,3,5,4,35,0.980742789,1.968,12.083962,1.513492,1.72316,7
"167",8.717316906,4,5,3,2,4,0,5,4,3,30,1.171230608,1.6614,11.574135,0.617388,0.589434,7
"168",8.528405202,2,3,0,5,5,2,4,4,2,27,2.189500732,1.831,13.789646,0.53345,1.310139,5
"169",9.448323066,4,2,2,1,4,2,5,4,1,25,1.424710003,1.5434,14.064912,5.423288,50.453372,7
"170",9.486652977,1,4,1,1,5,5,5,3,5,30,3.423856761,1.829,19.5271195,7.645139,1.088374,6
