participant,I_30250,I_30400,I_30550,I_40250,I_40400,I_40550,I_50250,I_50400,I_50550,interception,Open,Closed,age,Ckat_Tracking,Ckat_aiming,Ckat_Tracing,Attainment_Maths,Attainment_Reading,Attainment_Writing
310,5,4,4,3,3,3,5,6,4,37,7.625515,7.064563,10.75975359,10.517571,1.21,1.02830523,10,10,9
311,5,2,4,4,4,4,6,5,4,38,6.66736,1.579558,10.84736482,10.943179,1.3954,1.093215422,11,14,11
312,4,4,5,2,4,4,6,5,4,38,0.859327,1.075892,11.28542094,11.99796,1.5256,0.934007165,13,12,11
313,5,4,1,4,3,6,6,4,5,38,1.570183,4.395294,10.68309377,7.7286085,,1.123618713,8,10,8
314,0,5,2,4,4,4,4,3,1,27,1.043342,2.675795,10.84188912,8.0235895,1.6574,0.868746919,10,10,9
315,4,3,4,5,6,3,5,6,5,41,7.169786,6.532347,10.66940452,13.819762,1.6464,3.201863824,8,8,8
316,2,3,3,3,5,4,6,3,5,34,2.015191,1.391774,10.770705,12.776401,1.4532,1.231447977,5,8,8
317,5,1,3,4,4,3,6,3,4,33,0.465856,1.051898,10.770705,10.041888,1.1368,0.868709089,10,11,10
318,2,3,2,2,3,4,3,2,4,25,0.556543,1.750838,11.20876112,31.089236,1.447,1.383727193,7,8,8
319,2,6,4,5,3,5,6,6,5,42,3.210033,5.308593,10.92676249,16.059142,1.3494,1.467122601,12,13,12
320,3,2,3,3,6,3,4,6,5,35,4.002299,1.282694,10.67488022,7.5525815,1.2736,1.391693651,12,12,10
321,3,3,1,4,3,3,5,5,1,28,3.230019,3.088866,11.33470226,9.2530395,1.4506,1.07801623,12,15,12
322,4,2,2,5,4,2,4,6,4,33,6.782323,1.927094,11.28542094,10.914866,1.382,0.980387649,9,10,10
323,5,3,2,3,2,3,6,4,4,32,12.71426,8.163893,11.16495551,11.05502,,1.343811508,7,6,7
324,1,0,3,1,1,5,2,1,5,19,1.095207,8.479343,11.38672142,11.08504,1.3176,,11,11,11
325,3,3,3,3,5,4,6,3,5,35,2.169722,4.272076,11.38672142,18.7070385,1.1244,0.850314533,10,10,9
326,6,6,1,3,4,3,5,5,4,37,1.121084,1.68461,11.17043121,15.20604,1.8222,1.815260034,9,7,8
327,3,6,4,4,5,2,4,6,4,38,9.559024,9.34321,11.10198494,9.308042,2.0082,1.064351889,10,12,11
328,1,2,2,4,2,3,5,3,4,26,8.880731,1.438695,10.76796715,12.977798,1.4296,1.209232133,8,11,11
329,2,3,2,3,3,2,5,2,3,25,10.338328,7.047354,11.34017796,11.2881055,1.6128,1.377671167,7,10,9
330,3,0,2,3,4,2,6,4,3,27,4.985534,4.981003,11.00068446,11.5900285,1.0634,,10,12,12
331,4,3,3,5,4,5,5,2,2,33,21.466716,22.024355,10.6255989,10.373407,1.4842,,6,4,5
332,4,4,2,4,3,6,4,4,5,36,3.436816,1.478284,10.65023956,15.9964045,1.2074,1.114785427,7,7,7
333,3,2,2,3,4,4,4,4,1,27,1.704862,4.607907,10.73785079,12.2408805,1.2618,1.853115118,8,5,7
334,3,1,2,5,3,5,2,3,2,26,15.036206,13.415288,10.67761807,15.2232305,1.948,3.204793744,7,7,7
335,3,1,2,5,5,4,4,5,2,31,1.483559,1.460941,11.49075975,11.4273215,1.2794,0.997674927,8,11,9
336,0,0,0,0,0,0,0,0,2,2,1.559546,0.996013,11.42505133,11.20561,1.4544,0.966230546,9,12,10
337,5,6,4,4,6,6,6,6,6,49,29.756379,51.001205,11.21697467,10.396683,1.2856,1.315426671,14,12,12
338,5,4,2,5,6,4,5,5,5,41,2.874552,8.902884,11.15126626,16.576814,1.4362,1.131435991,7,8,8
339,5,5,3,3,4,2,5,4,4,35,1.008201,0.350204,10.76249144,7.030057,1.296,1.175633111,8,7,9
340,1,0,0,1,0,0,0,0,1,3,0.561458,0.912202,11.01163587,6.9341735,1.2736,0.901823784,10,11,9
341,5,3,4,4,4,4,6,5,4,39,5.801596,3.275838,11.04996578,7.890293,1.233,1.010291506,13,14,11
342,2,3,2,2,3,4,3,5,2,26,2.279169,6.151891,11.23887748,11.375792,1.3782,1.105297539,11,15,12
343,4,3,4,2,4,4,4,4,6,35,47.276985,2.936853,10.79534565,9.800745,1.4458,1.448221285,8,7,9
344,3,3,0,5,6,3,6,6,2,34,2.22694,5.510256,10.83915127,12.5950905,1.374,1.004727508,11,10,12
345,3,4,1,5,5,2,3,5,2,30,2.091967,1.660959,10.75975359,9.1046965,1.6226,1.209367717,7,8,8
346,5,2,2,5,3,2,6,4,2,31,1.807247,2.204755,10.70773443,21.5147805,1.7484,1.067243675,6,7,8
347,4,5,5,5,5,4,6,5,6,45,2.68881,4.76669,10.9705681,10.25826,1.4592,1.177702357,9,8,8
348,5,2,3,4,5,6,6,4,4,39,10.115532,36.651763,11.04175222,16.7839595,1.413,1.21637718,7,6,7
